C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3449,193,4901,761,4901,845,,,,,,,488,153,441,170,493,170,298,153,200,101,205,178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756,145,4709,850,4901,1049,,,,,,,457,113,468,226,493,194,200,104,226,101,634,145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130,548,4616,962,4901,848,,,,,,,325,160,466,160,610,226,225,122,200,137,272,153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748,424,4349,725,4901,905,,,,,,,400,137,509,145,529,144,178,130,205,200,234,125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725,580,4610,898,5000,1129,,,,,,,445,145,533,170,457,197,290,101,221,170,221,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3293,180,4705,746,5000,1049,,,,,,,500,153,404,197,656,200,212,104,260,181,261,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229,369,4517,641,4804,1021,,,,,,,593,125,416,289,776,180,265,101,229,148,229,125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,260,4901,580,4901,1300,,,,,,,325,218,457,229,520,205,293,122,229,98,338,173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3232,353,4436,514,4901,1205,,,,,,,409,265,545,145,585,205,185,170,298,90,205,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3869,578,4082,481,4901,853,,,,,,,488,170,442,272,488,185,256,145,178,104,212,125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2789,306,4181,845,4802,916,,,,,,,370,169,361,153,538,196,257,101,212,122,362,173
